,episode,alizarin_crimson,bright_red,cadmium_yellow,phthalo_green,prussian_blue,sap_green,titanium_white,van_dyke_brown,black_gesso,burnt_umber,indian_yellow,phthalo_blue,yellow_ochre,liquid_black,midnight_black,liquid_clear,dark_sienna,indian_red
0,S01E01,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
1,S01E02,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
2,S01E03,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
3,S01E04,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
4,S01E05,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
5,S01E06,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0
6,S01E07,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
7,S01E08,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
8,S01E09,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
9,S01E10,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
10,S01E11,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
11,S01E12,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
12,S01E13,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
13,S02E01,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0
14,S02E02,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0
15,S02E03,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
16,S02E04,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
17,S02E05,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0
18,S02E06,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0
19,S02E07,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0
20,S02E08,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0
21,S02E09,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0
22,S02E10,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0
23,S02E11,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
24,S02E12,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0
25,S02E13,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0
26,S03E01,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0
27,S03E02,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0
28,S03E03,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0
29,S03E04,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0
30,S03E05,1,0,1,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0
31,S03E06,1,1,1,0,1,1,1,1,0,1,0,0,1,0,1,0,0,0
32,S03E07,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0
33,S03E08,1,0,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0
34,S03E09,1,1,1,0,1,1,1,1,0,1,0,1,1,0,0,0,0,0
35,S03E10,1,1,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0
36,S03E11,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0
37,S03E12,1,1,1,0,1,1,1,1,0,1,0,1,1,0,0,0,0,0
38,S03E13,1,0,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0
39,S04E01,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
40,S04E02,1,1,1,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0
41,S04E03,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0
42,S04E04,0,1,1,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0
43,S04E05,1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0
44,S04E06,1,1,1,0,1,1,1,1,0,1,1,1,1,0,0,0,0,0
45,S04E07,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0,0,0,0
46,S04E08,1,1,1,0,1,1,1,1,0,1,1,0,1,0,0,0,0,0
47,S04E09,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0
48,S04E10,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0,0,0,0
49,S04E11,1,1,1,0,1,1,1,1,0,1,1,0,0,1,0,0,0,0
50,S04E12,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0
51,S04E13,1,0,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0
52,S05E01,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0,0,0,0
53,S05E02,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0
54,S05E03,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0
55,S05E04,1,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0
56,S05E05,1,1,1,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0
57,S05E06,1,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0
58,S05E07,1,1,1,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0
59,S05E08,1,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0
60,S05E09,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
61,S05E10,1,1,0,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0
62,S05E11,1,0,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0
63,S05E12,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0
64,S05E13,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0,0,0,0
65,S06E01,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0
66,S06E02,1,1,1,0,1,1,1,1,0,1,1,1,1,0,0,0,0,0
67,S06E03,1,1,1,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0
68,S06E04,1,1,1,0,1,1,1,1,0,1,1,1,1,0,0,0,0,0
69,S06E05,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0
70,S06E06,1,0,1,1,0,0,1,1,0,1,0,1,1,0,0,0,0,0
71,S06E07,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0,0,0,0
72,S06E08,1,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0
73,S06E09,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0,0,0,0
74,S06E10,1,1,1,0,1,1,1,1,0,1,1,0,1,0,0,0,0,0
75,S06E11,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0,0,0,0
76,S06E12,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0
77,S06E13,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0,0,0,0
78,S07E01,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0
79,S07E02,1,1,1,1,0,1,1,1,0,0,1,1,1,0,1,0,1,0
80,S07E03,1,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0
81,S07E04,1,1,1,1,0,1,1,1,0,0,1,1,1,0,1,0,1,0
82,S07E05,1,1,1,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0
83,S07E06,1,1,0,1,0,1,1,1,0,0,1,1,1,0,1,0,1,0
84,S07E07,1,1,1,0,0,0,1,1,0,0,1,1,1,0,1,0,1,0
85,S07E08,1,1,1,0,1,1,1,1,0,0,1,0,1,0,1,0,1,0
86,S07E09,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0
87,S07E10,0,1,1,0,1,1,1,1,0,0,1,1,1,0,1,0,1,0
88,S07E11,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
89,S07E12,0,1,1,0,0,1,1,1,0,0,0,1,1,0,1,0,1,0
90,S07E13,1,1,1,0,0,1,1,1,0,0,1,1,1,1,0,0,1,0
91,S08E01,1,1,1,0,0,1,1,1,0,0,1,1,1,0,1,0,0,0
92,S08E02,1,1,1,1,0,1,1,1,0,0,1,1,1,0,1,0,1,0
93,S08E03,1,1,1,0,0,0,1,1,0,0,1,1,1,0,1,0,1,0
94,S08E04,1,1,1,0,0,1,1,1,0,0,1,1,1,0,1,0,1,0
95,S08E05,1,1,1,0,1,1,1,1,0,0,1,0,1,0,1,0,1,0
96,S08E06,1,1,1,0,0,1,1,1,0,0,1,1,1,0,1,0,1,0
97,S08E07,1,1,1,0,0,0,1,1,0,0,1,1,1,0,1,0,1,0
98,S08E08,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1,0
99,S08E09,1,1,1,0,0,1,1,1,0,0,1,1,1,0,1,0,1,0
100,S08E10,1,1,1,0,0,0,1,1,1,0,1,0,1,0,1,0,1,0
101,S08E11,1,1,1,0,1,1,1,1,0,0,1,1,1,0,0,0,0,0
102,S08E12,1,1,1,0,0,0,1,1,0,0,1,1,1,0,1,0,1,0
103,S08E13,1,1,0,1,0,0,1,1,1,0,0,1,0,0,1,0,1,0
104,S09E01,1,1,0,0,1,0,1,1,0,0,0,1,1,0,1,0,1,0
105,S09E02,1,1,1,0,1,0,1,1,0,0,0,1,1,0,1,1,1,0
106,S09E03,1,1,1,0,0,0,1,1,1,0,1,1,1,0,1,0,1,0
107,S09E04,1,1,1,0,0,1,1,1,0,0,1,1,1,0,1,0,1,0
108,S09E05,1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0
109,S09E06,1,1,1,0,1,0,1,1,1,0,0,1,1,0,1,0,1,0
110,S09E07,1,1,1,0,0,1,1,1,0,0,1,1,1,0,1,0,1,0
111,S09E08,1,1,1,0,0,1,1,1,0,0,1,1,1,0,1,0,1,0
112,S09E09,1,1,1,0,0,1,1,1,0,0,1,1,1,0,1,0,1,0
113,S09E10,1,1,1,0,0,1,1,1,0,0,1,1,1,0,1,0,1,0
114,S09E11,1,1,1,0,0,1,1,1,0,0,1,1,1,0,1,0,1,0
115,S09E12,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,0
116,S09E13,1,1,1,0,0,1,1,1,1,0,1,1,1,0,1,0,1,0
117,S10E01,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1,0
118,S10E02,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,0,1,0
119,S10E03,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,0,1,0
120,S10E04,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,0,1,0
